id,title,date,thumbnail,views,likes,dislikes,comments
mOwqf8qUVGU,Apex Legends Global Series Online Tournament #3 - North America Finals,2020-04-07T04:43:06.000Z,https://i.ytimg.com/vi/mOwqf8qUVGU/default.jpg,605479,11370,297,584
GlCQJOnBxe0,Apex Legends Global Series Online Tournament #3 - Europe Finals,2020-04-06T21:03:27.000Z,https://i.ytimg.com/vi/GlCQJOnBxe0/default.jpg,617619,13271,349,328
Z0gXZS9XcBM,Apex Legends – The Old Ways Event Trailer,2020-04-06T15:00:29.000Z,https://i.ytimg.com/vi/Z0gXZS9XcBM/default.jpg,2460929,104681,1496,8692
dCXOnxM8sdY,Apex Legends | Stories from the Outlands – “The Old Ways”,2020-04-02T17:00:10.000Z,https://i.ytimg.com/vi/dCXOnxM8sdY/default.jpg,4745894,234590,3123,26619
hmw-Mfk2eRw,Apex Legends Global Series – Online Tournament #2 – NA,2020-03-24T05:32:19.000Z,https://i.ytimg.com/vi/hmw-Mfk2eRw/default.jpg,347251,7478,227,656
hnM6FXLh_QY,Apex Legends Global Series – Online Tournament #2 – EU,2020-03-24T00:37:02.000Z,https://i.ytimg.com/vi/hnM6FXLh_QY/default.jpg,300613,9836,272,204
Bs-mciwZ1Hc,Apex Devstream // Episode 004,2020-03-02T18:00:01.000Z,https://i.ytimg.com/vi/Bs-mciwZ1Hc/default.jpg,841130,23604,722,6391
YPkZ2a0rUB4,Apex Legends – System Override Collection Event Trailer,2020-02-27T18:00:05.000Z,https://i.ytimg.com/vi/YPkZ2a0rUB4/default.jpg,2763985,88172,912,8545
uyjD28CO4zw,Apex Legends Season 4 – Assimilation Battle Pass Overview Trailer,2020-02-04T18:00:08.000Z,https://i.ytimg.com/vi/uyjD28CO4zw/default.jpg,1655925,56489,842,3015
mBc5W96BYNE,Meet Revenant – Apex Legends Character Trailer,2020-02-04T18:00:11.000Z,https://i.ytimg.com/vi/mBc5W96BYNE/default.jpg,2308447,84431,902,5021
DFY_scgPl80,Apex Legends Season 4 – Assimilation Gameplay Trailer,2020-02-03T18:00:13.000Z,https://i.ytimg.com/vi/DFY_scgPl80/default.jpg,6079374,238482,3102,22369
QzfsGxrCD4o,Apex Legends Season 4 – Assimilation Launch Trailer,2020-01-30T18:00:10.000Z,https://i.ytimg.com/vi/QzfsGxrCD4o/default.jpg,9054147,308317,6024,37281
xTKWhxkYEBg,Apex Legends Global Series Online Tournament #1 - North America Finals,2020-02-06T18:00:12.000Z,https://i.ytimg.com/vi/xTKWhxkYEBg/default.jpg,618036,12865,426,1844
